1, Equator Coffees & Teas, 986 Market St, 37.782394430549445, -122.40997343121123
2, Snowbird Coffee, 1352A 9th Ave, 37.76309350825185, -122.46623159512482
3, Wrecking Ball Coffee Roasters, 2271 Union St, 37.796814043694475, -122.43670463562013
4, Andytown, 3655 Lawton St, 37.75663526453123, -122.50225782394409
5, Blue Bottle Coffee, 315 Linden St, 37.776407, -122.42325067520142
6, Ritual Coffee Roasters, 1300 Haight St, 37.77053793217966, -122.44385138624112
7, La Capra Coffee, 50 Fremont St, 37.79070809753265, -122.39753881875188
8, Ritual Coffee Roasters, 1026 Valencia St, 37.756501, -122.421146
9, Saint Frank, 2340 Polk St, 37.79844606426525, -122.4222130074603
10, Blue Bottle Coffee, 1 Ferry Building Ste 7, 37.79590475625579, -122.39393759555746
11, Sightglass Coffee, 270 7th St, 37.77702490373948, -122.40852980833175
12, Flywheel Coffee, 672 Stanyan St, 37.76957397933175, -122.45336134825135
13, Blue Bottle Coffee, 66 Mint Plaza, 37.78246395814844, -122.40782260894775
14, Wildcraft Espresso Bar, 2299 Market St, 37.7641264665863, -122.4330686990795
15, Réveille Coffee Co., 200 Columbus Ave, 37.79721249965347, -122.40549981594086
16, Red Door Coffee, 111 Minna St, 37.78746242830388, -122.39933341741562
17, Réveille Coffee Co., 4076 18th St, 37.76098725908006, -122.43446774623341
18, Caffe Trieste, 601 Vallejo St, 37.798682710638104, -122.40722444643663
19, Blue Bottle Coffee, 115 Sansome St, 37.79132021905332, -122.40098297595978
20, Mazarine Coffee, 720 Market St, 37.78737620645949, -122.40381715427705
21, Cafe St. Jorge, 3438 Mission St, 37.74168720173771, -122.4225780158454
22, Jane, 2123 Fillmore St, 37.78930232286027, -122.43397951126099
23, Stable Cafe, 2128 Folsom St, 37.76317491980427, -122.41525769233704
24, Ritual Coffee Roasters, 432B Octavia St, 37.77649268335422, -122.4242315985391
25, Sightglass Coffee, 3014 20th St, 37.759122, -122.411312
26, Blue Bottle Coffee, 1355 Market St Ste 190, 37.77625554409089, -122.41690918183825
27, Bob's Donut & Pastry Shop, 1621 Polk St, 37.791902136022294, -122.42092993761123
28, Four Barrel Coffee, 375 Valencia St, 37.76702438676065, -122.42195860692624
29, Philz Coffee, 399 Golden Gate Ave, 37.78137434004842, -122.41704404354097
30, Dynamo Donut & Coffee, 2760 24th St, 37.752940666211465, -122.40765035019247
31, Jane, 925 Larkin St, 37.786475, -122.418342
32, Philz Coffee, 300 Folsom St, 37.788679838776616, -122.39288652408356
33, Blue Bottle Coffee, 2 South Park, 37.782484, -122.393163
34, Philz Coffee, 549 Castro St, 37.760203782770596, -122.43491565857126
36, Wicked Grounds, 289 8th St, 37.775217908033895, -122.4102258682251
37, Hollow, 1435 Irving St, 37.76374693039945, -122.47342895489572
38, Papa November, 201 Kansas St, 37.767220564891566, -122.40361690521239
39, Coffee Cultures, 1301 Mission St, 37.77612762238859, -122.41465262422996
41, Blue Bottle Coffee Kiosk, Ferry Building, 37.79482223788696, -122.39397631904288
43, Red Blossom Tea Company, 831 Grant Ave, 37.79473059269872, -122.40654319524765
44, Cento, 372 Ritch St, 37.77878809371789, -122.39387121240644
45, Pinhole Coffee, 231 Cortland Ave, 37.73955564148793, -122.41907167072054
46, Four Barrel Coffee, 2 Burrows St., 37.72890952922229, -122.40385293960571
49, Réveille Coffee Co., 610 Long Bridge St, 37.773347990695086, -122.39145373080255
52, Philz Coffee, 1258 Minnesota St, 37.75439174418145, -122.38995453240166
53, The Richfield, 195 5th Ave, 37.784967, -122.46362
55, Trouble Coffee, 4033 Judah St, 37.76033350637597, -122.50536918640137
56, Chapel Hill Coffee Co., 670 Commercial St, 37.794096040757196, -122.40423200906335